sample_id,method,teacher_index,answer_index,approximate_index,candidate_kl,minimum_margin,prediction_match,baseline_correct,approximate_correct,token_count,token_retention,retrieved_frame_indices,variable_path_equivalence_error
vsi_question_2459,quotient_pool49,0,0,1,0.06950871646404266,0.125,0,1,0,392,0.25,,0.0
vsi_question_2459,residual_energy_frame2,0,0,1,0.03112895041704178,0.125,0,1,0,686,0.4375,2;4,0.0
vsi_question_2459,query_score_frame2,0,0,1,0.048483848571777344,0.125,0,1,0,686,0.4375,3;6,0.0
vsi_question_2459,oracle_frame2,0,0,0,0.0,0.125,1,1,1,686,0.4375,0;1,0.0
vsi_question_5148,exact_pool49,1,0,1,0.000993366353213787,0.0,1,0,0,392,0.25,,0.0
vsi_question_5148,quotient_pool49,1,0,1,0.000993366353213787,0.0,1,0,0,392,0.25,,0.0
vsi_question_5148,residual_energy_frame2,1,0,1,0.003485552966594696,0.0,1,0,0,686,0.4375,0;3,0.0
vsi_question_5148,query_score_frame2,1,0,1,0.0,0.0,1,0,0,686,0.4375,3;7,0.0
vsi_question_5148,oracle_frame2,1,0,1,0.0,0.0,1,0,0,686,0.4375,1;3,0.0
vsi_question_3007,exact_pool49,0,2,0,0.47977474331855774,1.875,1,0,0,392,0.25,,0.0
vsi_question_3007,quotient_pool49,0,2,1,0.5377384424209595,1.875,0,0,0,392,0.25,,0.0
vsi_question_3007,residual_energy_frame2,0,2,0,0.0775214433670044,1.875,1,0,0,686,0.4375,1;4,0.0
vsi_question_3007,query_score_frame2,0,2,1,0.6035309433937073,1.875,0,0,0,686,0.4375,3;6,0.0
vsi_question_3007,oracle_frame2,0,2,0,0.018732216209173203,1.875,1,0,0,686,0.4375,0;2,0.0
vsi_question_5092,exact_pool49,0,2,0,0.00757082924246788,0.125,1,0,0,392,0.25,,0.0
vsi_question_5092,quotient_pool49,0,2,0,0.00757082924246788,0.125,1,0,0,392,0.25,,0.0
vsi_question_5092,residual_energy_frame2,0,2,0,0.007801126688718796,0.125,1,0,0,686,0.4375,2;5,0.0
vsi_question_5092,query_score_frame2,0,2,0,0.0019067563116550446,0.125,1,0,0,686,0.4375,0;3,0.0
vsi_question_5092,oracle_frame2,0,2,0,0.0019067563116550446,0.125,1,0,0,686,0.4375,0;3,0.0
vsi_question_5006,exact_pool49,2,0,1,0.014897666871547699,0.25,0,0,0,392,0.25,,0.0
vsi_question_5006,quotient_pool49,2,0,1,0.026439979672431946,0.25,0,0,0,392,0.25,,0.0
vsi_question_5006,residual_energy_frame2,2,0,1,0.02144070528447628,0.25,0,0,0,686,0.4375,1;3,0.0
vsi_question_5006,query_score_frame2,2,0,1,0.02144070528447628,0.25,0,0,0,686,0.4375,2;5,0.0
vsi_question_5006,oracle_frame2,2,0,1,0.0068908557295799255,0.25,0,0,0,686,0.4375,3;7,0.0
vsi_question_2008,exact_pool49,0,1,3,0.4409898519515991,0.5,0,0,0,392,0.25,,0.0
vsi_question_2008,quotient_pool49,0,1,3,0.3431052565574646,0.5,0,0,0,392,0.25,,0.0
vsi_question_2008,residual_energy_frame2,0,1,0,0.15048207342624664,0.5,1,0,0,686,0.4375,2;7,0.0
vsi_question_2008,query_score_frame2,0,1,3,0.5421343445777893,0.5,0,0,0,686,0.4375,0;3,0.0
vsi_question_2008,oracle_frame2,0,1,3,0.04470488429069519,0.5,0,0,0,686,0.4375,1;4,0.0
vsi_question_3182,exact_pool49,0,0,0,0.07151269912719727,0.625,1,1,1,392,0.25,,0.0
vsi_question_3182,quotient_pool49,0,0,0,0.07151269912719727,0.625,1,1,1,392,0.25,,0.0
vsi_question_3182,residual_energy_frame2,0,0,0,0.04588993638753891,0.625,1,1,1,686,0.4375,6;7,0.0
vsi_question_3182,query_score_frame2,0,0,2,0.544690728187561,0.625,0,1,0,686,0.4375,0;7,0.0
vsi_question_3182,oracle_frame2,0,0,0,0.039864376187324524,0.625,1,1,1,686,0.4375,4;6,0.0
