claim_id,parent_id,statement,status,evidence_required,falsifier,evidence_refs,last_updated
C-012,,"On the same Wan F81 Layer-14 step-9 conditional cell, a validation-frozen heterogeneous allocation of adaptive ranks 0 through 44 or dense fallback after at most 10% expanded regular support reaches test aggregate/worst-head relative L2 at most 1%/2% using no more than 60% optimistic dense work.",refuted,"Prospective EXP-012 exact Pareto allocation with frozen validation-to-test head actions","No validation-frozen allocation reaches test 1%/2% below 60% optimistic work",.research-control/results/RESULT-EXP-012.md,2026-08-12
C-013,,"On the same Wan F81 Layer-14 step-9 conditional cell, target-exposed rank-conditioned swaps within 35% contiguous-64 support yield a validation-frozen heterogeneous rank allocation that reaches test aggregate/worst-head relative L2 at most 1%/2% using no more than 55% optimistic dense work.",refuted,"Prospective EXP-013 fixed-search support-manifold oracle with frozen validation-to-test ranks","The shaped frozen allocation misses 1%/2% or requires more than 55% optimistic work",.research-control/results/RESULT-EXP-013.md,2026-08-12
C-014,,"On the same Wan F81 Layer-14 step-9 conditional cell, one target-exposed centered K/V latent output basis shared across a validation-selected 4/8/16 deterministic query tiles reaches frozen-configuration test aggregate/worst-head relative L2 at most 1%/2%, recovers at least 90% of shared adaptive captured energy, and uses no more than 55% optimistic dense work.",supported,"Prospective EXP-014 shared centered-latent function-class oracle with frozen validation-to-test tile count and rank","No centered shared candidate reaches the registered test quality recovery and work gates",.research-control/results/RESULT-EXP-014.md,2026-08-12
C-015,,"On the same Wan F81 Layer-14 step-9 conditional cell, one Q-medoid dense anchor tile per eight query tiles yields a rank-64 residual basis and a validation-selected anchor-only online coefficient lifting rule that reaches frozen test aggregate/worst-head relative L2 at most 1%/2% using no more than 50% optimistic dense work.",refuted,"Prospective EXP-015 dense-anchor basis transfer and frozen online lifting evaluation","Q-medoid anchor basis fails 1%/2%, or no legal anchor-only coefficient rule transfers within 50% work",.research-control/results/RESULT-EXP-015.md,2026-08-12
C-016,,"On the same Wan F81 Layer-14 step-9 conditional cell, four Q-only selected regular 16-row micro-anchors distributed across distinct parent tiles recover a rank-16/32/48/64 residual basis that reaches frozen test aggregate/worst-head relative L2 at most 1%/2% using no more than 50% optimistic dense work.",refuted,"Prospective EXP-016 equal-row-budget distributed micro-anchor basis-transfer evaluation","No legal distributed selector passes validation/test or the target-exposed greedy distributed oracle fails 1%/2%",.research-control/results/RESULT-EXP-016.md,2026-08-12
C-017,,"On the same Wan F81 Layer-14 step-9 conditional cell, a validation-frozen per-head allocation among Q-k-center progressive 64/96/112-row calibration-prior-plus-current-innovation bases and dense fallback reaches frozen test aggregate/worst-head relative L2 at most 1%/2% using at most two-thirds mean optimistic dense work.",refuted,"Prospective EXP-038 split-frozen progressive heterogeneous function-class transfer evaluation","No validation allocation passes 1%/2% and the work guard or the frozen test allocation fails either quality gate",.research-control/results/RESULT-EXP-038.md,2026-08-12
C-018,,"On the same Wan F81 Layer-14 step-9 conditional cell, an observed-anchor-only leave-one-block-out self-error reaches at least 0.60 Spearman and 0.75 top-quartile high-risk recall for unseen-row basis error on the identity-held-out s02 screen, while a cross-fit calibration multiplier yields zero false-safe records and at least 25% certified coverage at a 2% record gate.",refuted,"Prospective EXP-039 cross-fit LOAO observability screen with s03 prohibited","Certified coverage was 16.67%, below the registered 25% gate",.research-control/results/RESULT-EXP-039.md,2026-08-12
C-019,,"On fresh Wan F81 Layer-14 conditional captures, a validation-selected causal rank-64 marginal-defect transport candidate frozen across heads and target steps reaches staged-test aggregate/worst-head-step relative L2 at most 1%/2%, improves at least 20% over a same-step calibration basis, passes at least two-thirds of target steps, and uses at most 50% local optimistic work.",refuted,"Prospective EXP-040 fresh two-prompt by two-seed staged-transfer screen","Validation adaptive current rank-64 capacity was 1.380%/2.829%, failing the registered 0.5%/1% capacity gate",.research-control/results/RESULT-EXP-040.md,2026-08-12
C-020,,"On the EXP-040 Wan F81 Layer-14 conditional captures, a validation-frozen per-head action table over previous-step marginal-defect ranks 32/48/64/80/96 and at most two dense fallbacks reaches the previously unopened s03 test at aggregate/worst-head-step relative L2 at most 1%/2%, improves at least 20% over the matched same-rank static basis table, passes at least two-thirds of target steps, and uses at most 50% mean local optimistic work.",supported,"Prospective EXP-041 staged s03 transfer result with frozen validation actions and matched static controls","No validation table passes every registered gate, or the frozen s03 table fails any quality, static-improvement, target-fraction, dense-cap, or work gate",.research-control/results/RESULT-EXP-041.md,2026-08-12
C-021,,"On Wan2.1-T2V-1.3B F81, calibration-frozen current-observable motion alignment exposes a nonperiodic structured finite-interval curvature model that reduces held-out risk-weighted curvature error by at least 25% versus the same unaligned structure, reaches 4-NFE aggregate/worst latent endpoint relative L2 <=1%/2%, and costs <=10% of one Wan NFE.",hypothesis,"Prospective identity-disjoint flow-map curvature protocol with equal-budget raw clean-prediction and motion-aligned coordinates; target-exposed capacity separated from deployable transfer; frozen teacher scheduler warp estimator and artifact hashes","The capacity ceiling misses 0.5%/1%, observable alignment lacks the registered gain, frozen transfer misses 1%/2%, or adapter arithmetic exceeds 10% of one Wan NFE",,2026-08-12
C-022,C-021,"On Wan2.1-T2V-1.3B F81, a frozen-backbone 20-to-4 production-UniPC distillation with a 28160-parameter nonperiodic finite-jump adapter reaches held-out four-jump latent endpoint aggregate/worst relative L2 <=1%/2%, and current-observable motion alignment reduces displacement-weighted residual error by at least 25% versus the identical unaligned adapter under equal data, teacher calls, parameters, optimizer steps, and NFE.",refuted,"Prospective production-trajectory capture followed by identity-disjoint equal-budget adapter training, closed-loop four-step rollout, released rCM/TurboWan comparison, video quality metrics, and H200 wall-clock","EXP-043 returned capacity-null: target-exposed endpoint 11.115%, observable endpoint 10.901%, and all trained arms worse than the 9.451% zero correction; interpretation is limited by severe interval-sampling starvation",.research-control/results/RESULT-EXP-043.md,2026-08-13
C-023,C-022,"On the already exposed EXP-043 development payloads, balanced interval training reveals usable local finite-jump capacity: a target-exposed stage-specific adapter reaches same-identity endpoint relative L2 <=1%, and an interval-conditioned observable adapter reaches cross-identity endpoint <=2% or improves at least 25% over the frozen EXP-043 observable endpoint.",refuted,"Post-outcome EXP-044 trainability decomposition with balanced interval counts, stage-specific and transductive controls, immutable payload hashes, and no unopened identities","EXP-044 local-function-null: wide target transductive 8.190%, stage target transductive 8.327%, FiLM transfer 43.728%, and balanced shared transfer 20.648%",.research-control/results/RESULT-EXP-044.md,2026-08-13
C-024,,"On Wan2.1-T2V-1.3B F17 layers 20--29 at sampler steps 4/6, a causal current-input predictor using only exact historical residuals, current block-input drift, current AdaLN, and at most four nonperiodic spacetime transport experts reduces horizon-1 residual risk by at least 2x versus matched AR(2) in at least 6/10 layers at both steps, recovers at least 50% of the target-visible oracle gap, harms neither CFG branch by more than 10%, and remains no worse than AR(2) at open-loop horizons 2/3.",refuted,"Prospective EXP-045 with fresh prompt-level calibration/selection/final partitions, full-tensor in-memory evaluation, exact-history enforcement, linear oracle-recovery metric, and complete observable/predictor cost accounting","No causal method passes layer coverage, oracle recovery, CFG branch safety, and horizons 2/3 stability on the selection identities",.research-control/results/RESULT-EXP-045.md,2026-08-20
C-025,,"On Wan2.1-T2V-1.3B F17 blocks 20--29 at sampler steps 4/6, the target-visible adaptive rank-64 correction of the exact-history current-input diagonal whole-block defect reaches aggregate/worst identity-branch block-output relative L2 at most 0.5%/1% in at least 6/10 layers for every horizon 1/2/3, with optimistic state-render arithmetic at most 10% of an estimated exact Wan block.",refuted,"Prospective EXP-046 on four fresh selection identities with a frozen rank grid, deterministic randomized SVD, full-tensor output error, exact-anchor base renderer, and complete rank-state arithmetic/payload accounting","Rank 64 passed 0/10 layers at all six step/horizon conditions; aggregate/worst output L2 was 4.833%/11.093%, and diagnostic rank 96 also passed 0/10",.research-control/results/RESULT-EXP-046.md,2026-08-20
C-026,,"On one H200 NVL, the official unquantized four-step rCM Wan2.1-T2V-1.3B release reaches at least 3.5x warm denoiser and 2.5x warm end-to-end speedup over native 20-step UniPC at F81 while retaining at least 0.90 mean teacher-normalized quality across eight registered VBench dimensions, no dimension below 0.80, and at least 0.70 teacher inter-seed diversity on three of four frozen prompts.",hypothesis,"Prospective EXP-047 with pinned official rCM code/checkpoint, native20/native4 controls, four frozen prompts by two seeds, component H200 timing, VBench dimensions, and diversity metrics","The official rCM integration is valid but misses either speed, quality, diversity, or output-completeness guards",,2026-08-26
C-027,,"At a fixed rank-64 token-state payload on fresh Wan F17 identities, rCM weights induce calibration-transferable late-layer closure: rCM-on-rCM reaches 0.5%/1% capacity and 1%/2% H1 block-output L2 in at least 6/10 blocks, improves at least 25% over teacher weights on both native4 and rCM4 input trajectories, and remains stable through H2/H3.",refuted,"Prospective EXP-048 two-by-two weight/trajectory cross with calibration-only model-specific/shared bases, full-token selection, fixed rank/payload, and H1/H2/H3 rollout","G-027 null/adverse: 0/10 capacity and H1 layers, 0/10 fixed-input weight-improvement layers, and 22.460%/30.843% pooled rCM-on-rCM capacity/H1 output L2",.research-control/results/RESULT-EXP-048.md,2026-08-27
C-028,,"On Wan2.1-T2V-1.3B, at least one target-separated current-state interface among self-attention, FFN, and whole block reaches target-visible 0.5%/1% and calibration-only 1%/2% aggregate/worst suffix risk, recovers at least 70% of the AR(2)-to-oracle gap, and has sufficient calibration-certified coverage and measured H200 cost to imply at least 1.2x end-to-end speedup.",refuted,"Staged EXP-049 with exposed local screen, fresh split-frozen full-token suffix interventions, and complete isolated-H200 interface/renderer timing","Every target fails local capacity or deployability, suffix propagation violates a quality/recovery guard, or measured coverage and cost cannot support 1.2x end-to-end",.research-control/results/RESULT-EXP-049.md,2026-08-29
