sample_id,task,selector,reference_variant,candidate_variant,transition,prediction_changed,reference_correct,candidate_correct,reference_prediction,candidate_prediction,answer,question,frame_indices,pool_reconstruction_error,selected_reconstruction_error
action_sequence_0177,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Opened the closet/cabinet.,Opened the closet/cabinet.,Opened the closet/cabinet.,What happened after the person put down the clothes?,"[95, 114, 123, 128, 132, 137, 142, 146]",0.05111449584364891,0.05089752376079559
action_sequence_0183,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Opened the bag.,Opened the bag.,Put down the paper/notebook.,What happened after the person held the laptop?,"[339, 376, 413, 450, 523, 542, 560, 578]",0.06710018962621689,0.06496843695640564
action_sequence_0187,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Took the dish.,Took the dish.,Took the dish.,What happened after the person opened the bag?,"[106, 112, 118, 130, 136, 178, 184, 190]",0.08121796697378159,0.0806308463215828
action_sequence_0190,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Put down the phone/camera.,Put down the phone/camera.,Took the sandwich.,What happened before the person closed the closet/cabinet?,"[163, 169, 176, 183, 189, 196, 203, 209]",0.07114788889884949,0.07108785212039948
moving_direction_0003,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Up and to the right.,Up and to the right.,Down and to the left.,In which direction does the blue cube move in the video?,"[66, 70, 74, 78, 90, 118, 122, 126]",0.030629131942987442,0.03110188990831375
moving_direction_0005,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,Can you identify the direction of the gray sphere's movement in the video?,"[86, 94, 106, 110, 114, 118, 122, 126]",0.026065293699502945,0.026628106832504272
moving_direction_0007,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the left.,Can you identify the direction of the brown sphere's movement in the video?,"[66, 82, 86, 110, 114, 118, 122, 126]",0.02763606794178486,0.027114693075418472
moving_direction_0020,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the right.,Can you identify the direction of the purple sphere's movement in the video?,"[66, 70, 106, 110, 114, 118, 122, 126]",0.028069525957107544,0.027670694515109062
moving_direction_0026,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the right.,What direction is the green sphere moving in within the video?,"[94, 98, 102, 106, 110, 118, 122, 126]",0.02553294226527214,0.025807607918977737
moving_direction_0044,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the red sphere moving in within the video?,"[90, 102, 106, 110, 114, 118, 122, 126]",0.028211228549480438,0.028330344706773758
moving_direction_0046,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,In which direction does the gray sphere move in the video?,"[70, 74, 78, 82, 86, 118, 122, 126]",0.028533250093460083,0.028376322239637375
moving_direction_0047,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the left.,What direction is the gray sphere moving in within the video?,"[82, 98, 106, 110, 114, 118, 122, 126]",0.027187038213014603,0.026668915525078773
moving_direction_0066,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,What direction is the red sphere moving in within the video?,"[66, 70, 74, 90, 114, 118, 122, 126]",0.027554214000701904,0.02754742093384266
moving_direction_0067,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the right.,Can you identify the direction of the blue sphere's movement in the video?,"[86, 90, 98, 106, 114, 118, 122, 126]",0.027158720418810844,0.026986736804246902
moving_direction_0071,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,Can you identify the direction of the gray cube's movement in the video?,"[94, 98, 102, 106, 110, 118, 122, 126]",0.028372270986437798,0.030070500448346138
moving_direction_0075,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the left.,What direction is the red sphere moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.0268118716776371,0.02739226445555687
moving_direction_0081,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Up and to the right.,Up and to the right.,Up and to the left.,Can you identify the direction of the red sphere's movement in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.028304249048233032,0.028599245473742485
moving_direction_0083,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,In which direction does the green sphere move in the video?,"[90, 102, 106, 110, 114, 118, 122, 126]",0.02741822972893715,0.02731098048388958
moving_direction_0085,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the yellow sphere moving in within the video?,"[94, 98, 106, 110, 114, 118, 122, 126]",0.02840644121170044,0.028010115027427673
moving_direction_0088,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Down and to the right.,Down and to the right.,Down and to the left.,What direction is the cyan cylinder moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02913280762732029,0.029363932088017464
moving_direction_0090,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the right.,In which direction does the red sphere move in the video?,"[70, 98, 102, 110, 114, 118, 122, 126]",0.03263429179787636,0.03277594968676567
moving_direction_0092,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Down and to the right.,Down and to the right.,Up and to the right.,Can you identify the direction of the red sphere's movement in the video?,"[90, 102, 106, 110, 114, 118, 122, 126]",0.028990235179662704,0.028599796816706657
moving_direction_0097,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,In which direction does the blue sphere move in the video?,"[82, 98, 102, 106, 110, 118, 122, 126]",0.02596752531826496,0.025611447170376778
moving_direction_0099,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Up and to the right.,Up and to the right.,Down and to the right.,Can you identify the direction of the purple sphere's movement in the video?,"[94, 102, 106, 110, 114, 118, 122, 126]",0.02978430688381195,0.030375711619853973
moving_direction_0101,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the yellow sphere moving in within the video?,"[70, 74, 78, 82, 86, 118, 122, 126]",0.026725735515356064,0.026459278538823128
moving_direction_0104,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,Can you identify the direction of the yellow sphere's movement in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02491435594856739,0.024399487301707268
moving_direction_0110,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the right.,What direction is the cyan cylinder moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.026081779971718788,0.025939812883734703
moving_direction_0114,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,1,0,0,Up and to the left.,Up and to the right.,Down and to the left.,What direction is the blue cube moving in within the video?,"[94, 98, 106, 110, 114, 118, 122, 126]",0.024998972192406654,0.025015195831656456
moving_direction_0118,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the right.,Can you identify the direction of the purple sphere's movement in the video?,"[90, 94, 98, 102, 106, 118, 122, 126]",0.025983503088355064,0.025851339101791382
moving_direction_0119,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,Can you identify the direction of the gray sphere's movement in the video?,"[70, 78, 98, 110, 114, 118, 122, 126]",0.029646379873156548,0.029815737158060074
moving_direction_0122,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,What direction is the cyan cube moving in within the video?,"[86, 90, 94, 98, 102, 118, 122, 126]",0.027288733050227165,0.027456969022750854
moving_direction_0123,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the cyan sphere moving in within the video?,"[78, 90, 94, 98, 114, 118, 122, 126]",0.029190730303525925,0.029358362779021263
moving_direction_0124,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the blue sphere moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.027411140501499176,0.027316918596625328
moving_direction_0125,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the brown sphere moving in within the video?,"[90, 102, 106, 110, 114, 118, 122, 126]",0.029153287410736084,0.029594535008072853
moving_direction_0129,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,Can you identify the direction of the cyan cylinder's movement in the video?,"[86, 94, 98, 102, 106, 118, 122, 126]",0.0258211437612772,0.02563081867992878
moving_direction_0133,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,What direction is the cyan sphere moving in within the video?,"[90, 94, 98, 106, 110, 118, 122, 126]",0.025408117100596428,0.025873463600873947
moving_direction_0144,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the left.,In which direction does the red sphere move in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.025864819064736366,0.02532975934445858
moving_direction_0154,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the green sphere moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.025780731812119484,0.0254667941480875
moving_direction_0166,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Up and to the right.,Up and to the right.,Up and to the right.,In which direction does the brown sphere move in the video?,"[70, 74, 94, 110, 114, 118, 122, 126]",0.027651043608784676,0.027232466265559196
moving_direction_0168,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the left.,In which direction does the gray sphere move in the video?,"[74, 82, 86, 102, 106, 118, 122, 126]",0.026914458721876144,0.02714691124856472
moving_direction_0169,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,Can you identify the direction of the purple sphere's movement in the video?,"[78, 86, 90, 110, 114, 118, 122, 126]",0.02587498538196087,0.02659577503800392
moving_direction_0181,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the brown sphere moving in within the video?,"[82, 86, 106, 110, 114, 118, 122, 126]",0.02875584550201893,0.028257522732019424
moving_direction_0182,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,Can you identify the direction of the yellow sphere's movement in the video?,"[90, 98, 106, 110, 114, 118, 122, 126]",0.03118850663304329,0.030052082613110542
moving_direction_0183,moving_direction,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,In which direction does the red sphere move in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.025773869827389717,0.025110770016908646
object_existence_0003,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,no,no,yes,Are there any stationary objects when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.026662468910217285,0.027165992185473442
object_existence_0010,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,yes,yes,yes,Are there any moving yellow objects when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02741231396794319,0.026882903650403023
object_existence_0013,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,no,no,yes,Are there any purple spheres that enter the scene?,"[78, 102, 106, 110, 114, 118, 122, 126]",0.026887686923146248,0.026892634108662605
object_existence_0018,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,no,no,yes,Are there any rubber spheres that exit the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.03233955055475235,0.032774023711681366
object_existence_0019,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,yes,yes,no,Are there any stationary green objects?,"[86, 98, 102, 110, 114, 118, 122, 126]",0.0273439958691597,0.027347298339009285
object_existence_0020,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,worse,1,1,0,yes,no,yes,Are there any stationary cyan objects when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02969183959066868,0.029103601351380348
object_existence_0025,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,no,no,yes,Are there any moving spheres?,"[94, 98, 102, 106, 114, 118, 122, 126]",0.027820080518722534,0.028243467211723328
object_existence_0026,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,yes,yes,no,Are there any stationary spheres?,"[94, 98, 102, 110, 114, 118, 122, 126]",0.028893902897834778,0.02735999971628189
object_existence_0031,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,yes,yes,no,Are there any objects that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.0273935254663229,0.027574433013796806
object_existence_0032,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,no,no,no,Are there any moving spheres?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.029516585171222687,0.02974429540336132
object_existence_0036,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,no,no,no,Are there any moving spheres when the video ends?,"[94, 102, 106, 110, 114, 118, 122, 126]",0.02981111966073513,0.030316565185785294
object_existence_0038,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,yes,yes,no,Are there any objects that exit the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.0271152276545763,0.027175074443221092
object_existence_0040,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,no,no,yes,Are there any moving cylinders when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.028458552435040474,0.028302570804953575
object_existence_0046,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,yes,yes,yes,Are there any blue objects that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02713138423860073,0.026279719546437263
object_existence_0061,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,yes,yes,yes,Are there any gray cubes that exit the scene?,"[90, 98, 102, 110, 114, 118, 122, 126]",0.02799331583082676,0.027189666405320168
object_existence_0064,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,no,no,no,Are there any stationary cylinders when the video begins?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.026060473173856735,0.02635008841753006
object_existence_0066,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,no,no,no,Are there any stationary purple objects when the video begins?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.030063994228839874,0.030323289334774017
object_existence_0068,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,no,no,no,Are there any stationary red objects when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.0270613431930542,0.02801225148141384
object_existence_0077,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,yes,yes,no,Are there any stationary gray objects when the video ends?,"[90, 94, 98, 102, 110, 118, 122, 126]",0.03369062393903732,0.03340531885623932
object_existence_0082,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,yes,yes,yes,Are there any metal objects that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.026741445064544678,0.02608383446931839
object_existence_0083,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,no,no,no,Are there any moving cubes?,"[94, 98, 106, 110, 114, 118, 122, 126]",0.026486286893486977,0.026545502245426178
object_existence_0085,object_existence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,no,no,no,Are there any stationary cylinders?,"[94, 102, 106, 110, 114, 118, 122, 126]",0.026342792436480522,0.025735344737768173
