experiment_id,claim_ids,candidate_line,status,kind,lane,protocol_path,result_path,code_identity,data_identity,config_identity,decision_gate,failure_class,started_at,completed_at
EXP-039,C-018,L-018,completed,exploratory,explore,.research-control/experiments/protocols/EXP-039.md,.research-control/results/RESULT-EXP-039.md,"probe:7c044cb19f575022;core:efce1004408d0c36;test:e9414258b7dcf7e9;isolation-test:c40236e96b6a7ac4","qkv-index:attention_head_factorial_f81_v1;split:s00-s01-crossfit_s02-screen_s03-prohibited;target:anchor-loao-risk-observability",0f29814793d70b95,G-018,null,2026-08-12,2026-08-12
EXP-040,C-019,L-019,completed,exploratory,explore,.research-control/experiments/protocols/EXP-040.md,.research-control/results/RESULT-EXP-040.md,"capture:379265f7ba79c235;probe:ba0fe22259894b36;core:423a254a4f7cf3b8;test:cca170d5af1c6e17;probe-test:fc5f6c4c0e7861ba;capture-test:99430185f1eb8978","fresh-qkv:steps7-10_layer14_cond;prompts:4811d37ed1a25889;model:Wan2.1-T2V-1.3B",89649243019ae789,G-019,null,2026-08-12,2026-08-12
EXP-041,C-020,L-020,completed,exploratory,explore,.research-control/experiments/protocols/EXP-041.md,.research-control/results/RESULT-EXP-041.md,"probe:2cf42f8143f66dfc;core:bc22028fa449ab2e;core-test:a043725d47f1a7a5;probe-test:a587053e25cc19e6;capture:379265f7ba79c235;loader:ba0fe22259894b36","exp040-fresh-qkv:steps7-10_layer14_cond;s00-s01-calibration_s02-exposed-validation_s03-prospective-test",f5050fba6be93007,G-020,null,2026-08-12,2026-08-12
EXP-042,C-021,L-021,completed,exploratory,explore,.research-control/experiments/protocols/EXP-042.md,.research-control/results/RESULT-EXP-042.md,"euler-capture:0a9b4b09de336a0b;midpoint-capture:ca62ee0f4ba40b2f;midpoint-solver:11a8a76d0f3d26a5;midpoint-evaluator:743e043d767d7efa;selector:9a6fac9f8e94a4eb;audit:8ca5e326afee4a2e","identity-plan:512ec816d8ffaef9;model:96b6b242ca1c2f24;midpoint-manifests:80ecfd4c+bd4d3592+23eae141+7022f3a1",5d4b858390ea9c75,G-021,engineering-failure,2026-08-12,2026-08-13
EXP-043,C-022,L-022,completed,exploratory,explore,.research-control/experiments/protocols/EXP-043.md,.research-control/results/RESULT-EXP-043.md,"capture:ae9de9a3ebb590ad;trainer:4653f65d5a1cd0f1;core:60a7b82fe2621f01;motion:0c2cbf99b87d5f3c;evaluator:17ccafe1745bd240","identity-plan:512ec816d8ffaef9;model:Wan2.1-T2V-1.3B;teacher:production-UniPC-20",cf2bf31b2da21a33,G-022,null,2026-08-13,2026-08-13
EXP-044,C-023,L-023,completed,exploratory,explore,.research-control/experiments/protocols/EXP-044.md,.research-control/results/RESULT-EXP-044.md,"trainer:15e10517ed27b513;core:0a235a8c214c9922;test:50abea8ca448ebfd","exp043-capture:immutable;identities:dev00_cloth+dev01_turntable",6584c2d33f64a54d,G-023,null,2026-08-13,2026-08-13
EXP-045,C-024,L-024,completed,exploratory,explore,.research-control/experiments/protocols/EXP-045.md,.research-control/results/RESULT-EXP-045.md,current-input-observability-runtime+evaluator,prospective-12-identity-f17-plan,wan-current-input-observability-exp045-v1,G-024,null,2026-08-20,2026-08-20
EXP-046,C-025,L-025,completed,exploratory,explore,.research-control/experiments/protocols/EXP-046.md,.research-control/results/RESULT-EXP-046.md,rank-state-capacity-runtime+evaluator,prospective-12-identity-f17-rank-state-plan,wan-rank-state-capacity-exp046-v1,G-025,null,2026-08-20,2026-08-20
EXP-047,C-026,L-026,running,exploratory,explore,.research-control/experiments/protocols/EXP-047.md,,official-rcm-inference+exp047-harness,prospective-four-prompt-two-seed-f81-plan,wan-rcm-released-baseline-exp047-v1,G-026,,2026-08-26,
EXP-048,C-027,L-027,completed,exploratory,explore,.research-control/experiments/protocols/EXP-048.md,.research-control/results/RESULT-EXP-048.md,rcm-state-closure-core+cross-capture+calibration-fit,prospective-eight-identity-f17-weight-trajectory-cross,wan-rcm-state-closure-exp048-v1,G-027,adverse,2026-08-27,2026-08-27
