family,work,arxiv_id,source,setting,core_mechanism,bounded_state,query_or_event_conditioned,system_measurement,novelty_consequence,priority
structured_operator,Monarch Mixer,2310.12109,https://arxiv.org/abs/2310.12109,sequence modeling,hardware-aware Monarch mixing,not applicable,no,measured speed reported,non-BCCB hardware-aware structured control,high
systems,FlashFFTConv,2311.05908,https://arxiv.org/abs/2311.05908,long convolution,fused tensor-core-aware FFT convolution,not applicable,no,kernel latency reported,FFT asymptotics do not guarantee speed,critical
adapter,BitFit,2106.10199,https://arxiv.org/abs/2106.10199,language-model adaptation,bias-only fine tuning,not applicable,no,trainable parameters reported,extreme sparse tuning is a minimal PEFT control,medium
adapter,LoRA,2106.09685,https://arxiv.org/abs/2106.09685,language-model adaptation,trainable low-rank delta weight,not applicable,no,parameters and latency reported,low-rank residual is established,critical
adapter,IA3,2205.05638,https://arxiv.org/abs/2205.05638,language-model adaptation,learned activation scaling vectors,not applicable,no,parameters and quality reported,vector scaling is an ultra-light PEFT control,medium
adapter,AdaLoRA,2303.10512,https://arxiv.org/abs/2303.10512,language-model adaptation,adaptive singular-value rank allocation,not applicable,no,parameters and quality reported,rank allocation gains must be separated from hybrid structure,high
adapter,VeRA,2310.11454,https://arxiv.org/abs/2310.11454,language-model adaptation,shared frozen random low-rank matrices plus learned scales,not applicable,no,parameters and quality reported,shared ultra-low-parameter adaptation is a strong budget control,high
adapter,DoRA,2402.09353,https://arxiv.org/abs/2402.09353,language-model adaptation,magnitude-direction decomposition with low-rank directional update,not applicable,no,parameters and quality reported,weight decomposition is an enhanced LoRA control,high
adapter,FourierFT,2405.03003,https://arxiv.org/abs/2405.03003,foundation-model adaptation,sparse learned Fourier coefficients for delta weights,not applicable,no,parameters and quality reported,frequency-domain PEFT is direct structured competition,critical
adapter,C3A,2407.19342,https://arxiv.org/abs/2407.19342,foundation-model adaptation,circular-convolution high-rank delta update,not applicable,no,parameters computation and quality reported,circular high-rank adaptation is direct prior art,critical
adapter,BCA,2505.00582,https://arxiv.org/abs/2505.00582,language-model adaptation,block-circulant adapter,not applicable,no,parameters and efficiency reported,parameter compression is separate from temporal state,medium
generation,Sparse VideoGen,2502.01776,https://arxiv.org/abs/2502.01776,Video DiT inference,profiled spatial-temporal head sparsity plus custom kernels,not applicable,timestep and head conditioned,end-to-end speed and quality reported,training-free sparse attention is a first-order generation baseline,critical
generation,VSA,2505.13389,https://arxiv.org/abs/2505.13389,Video DiT training and inference,trainable tile-level critical-token sparse attention,not applicable,token and tile conditioned,kernel MFU end-to-end speed and quality reported,hardware-aligned high-rank sparsity precedes structured replacement,critical
generation,VMonarch,2601.22275,https://arxiv.org/abs/2601.22275,video generation,structured attention for Video DiT,not applicable,timestep conditioned,generation speed and quality reported,generation-side structured attention is crowded,medium
generation,MonarchRT,2602.12271,https://arxiv.org/abs/2602.12271,real-time video generation,periodic sparse and dense hybrid mixing,not applicable,dynamic routing,kernel and end-to-end speed reported,closest generation hybrid threat,high
generation,RoPeSLR,2605.20659,https://arxiv.org/abs/2605.20659,video generation,3D-RoPE sparse-low-rank attention,not applicable,geometry conditioned,FLOPs speed and quality reported,sparse plus low rank is established,high
generation,LongLive,2509.22622,https://arxiv.org/abs/2509.22622,real-time interactive long video,frame-level causal AR plus short window and frame sink,yes,prompt and stream conditioned,FPS memory and quality reported,causal streaming architecture precedes attention micro-optimization,critical
generation,Causal Forcing,2602.02214,https://arxiv.org/abs/2602.02214,real-time interactive video,autoregressive-teacher diffusion distillation,not applicable,causal history conditioned,quality and real-time behavior reported,bidirectional-to-causal distillation is a first-order axis,critical
generation,Fast AR Video Diffusion,2602.01801,https://arxiv.org/abs/2602.01801,autoregressive video diffusion,temporal cache compression plus ANN self and cross attention,yes,semantic ANN conditioned,end-to-end speed memory and quality reported,cache and sparse retrieval are direct generation controls,high
generation,Diagonal Distillation,2603.09488,https://arxiv.org/abs/2603.09488,streaming autoregressive video,asymmetric cross-chunk and denoising-step distillation,not applicable,temporal context conditioned,FPS speedup and quality reported,NFE reduction dominates isolated operator replacement,critical
generation,DVD-Quant,2505.18663,https://arxiv.org/abs/2505.18663,Video DiT inference,data-free W4A4 post-training quantization,not applicable,timestep adaptive bits,end-to-end speed memory and quality reported,low precision is a mandatory deployment baseline,high
generation,QuantSparse,2509.23681,https://arxiv.org/abs/2509.23681,Video DiT inference,joint quantization and attention sparsification,not applicable,distillation conditioned,end-to-end speed storage and quality reported,precision and sparsity interact and cannot be evaluated independently,high
generation,TurboDiffusion,2512.16093,https://arxiv.org/abs/2512.16093,video diffusion inference,step distillation plus sparse-linear attention plus W8A8,not applicable,timestep conditioned,end-to-end speed and quality reported,credible acceleration requires a full optimization stack,critical
generation,6Bit-Diffusion,2603.18742,https://arxiv.org/abs/2603.18742,Video DiT inference,dynamic NVFP4 INT8 allocation plus temporal delta cache,yes,timestep stability conditioned,end-to-end speed memory and quality reported,temporal stability can drive both precision and cache reuse,high
generation,Forcing-KV,2605.09681,https://arxiv.org/abs/2605.09681,autoregressive video diffusion,head-specialized static and dynamic KV compression,yes,head and segment conditioned,FPS cache memory and speed reported,head-wise cache specialization is a direct comparator,high
generation,CausalCine,2605.12496,https://arxiv.org/abs/2605.12496,real-time multi-shot video,causal generation plus content-aware memory routing and distillation,yes,content and prompt conditioned,quality memory and real-time behavior reported,multi-shot memory routing is established,high
generation,Causal Forcing++,2605.15141,https://arxiv.org/abs/2605.15141,frame-wise real-time video,one or two step causal consistency distillation,not applicable,causal history conditioned,NFE latency training cost and quality reported,one-to-two-step generation sets the latency frontier,critical
generation,LongLive-2.0,2605.18739,https://arxiv.org/abs/2605.18739,long interactive video,NVFP4 training inference KV cache and streaming VAE,yes,stream and prompt conditioned,FPS memory training and inference speed reported,precision and infrastructure are full-system contributions,critical
generation,LongLive-RAG,2606.02553,https://arxiv.org/abs/2606.02553,long autoregressive video,content-addressable retrieval over generated latent history,yes,query retrieval,quality retrieval overhead and long-horizon behavior reported,cross-frame retrieval is a direct memory baseline,high
systems,GENSERVE,2604.04335,https://arxiv.org/abs/2604.04335,diffusion image and video serving,step-level preemption elastic parallelism and SLO scheduling,not applicable,load and deadline conditioned,SLO attainment throughput and latency reported,serving value requires workload-aware evaluation,critical
systems,FlashDiff,2607.12121,https://arxiv.org/abs/2607.12121,diffusion image video and audio serving,regional execution plus affinity-aware scheduling,not applicable,region activity and load conditioned,end-to-end latency throughput and workload results reported,regional slack and scheduling are separate from model FLOPs,critical
state_model,Dynamic Mode Decomposition for Video,1404.7592,https://arxiv.org/abs/1404.7592,video dynamics,low-rank dynamics plus sparse foreground,no,no,real-time behavior reported,dynamic low-rank sparse video decomposition predates VLMs,high
state_model,Online Supervised Subspace Tracking,1509.00137,https://arxiv.org/abs/1509.00137,online prediction,predictive online subspace updates,yes,supervision conditioned,algorithmic complexity reported,simple subspace predictor is a baseline,medium
state_model,Online Robust PCA,1601.07985,https://arxiv.org/abs/1601.07985,online decomposition,low-dimensional plus sparse decomposition,yes,no,theory and video examples,low-rank plus sparse is not novel,critical
state_model,OLSTEC,1709.10276,https://arxiv.org/abs/1709.10276,online tensor tracking,low-rank tensor subspace tracking,yes,no,algorithmic complexity reported,tensorized low-rank tracking is established,medium
state_model,SlotFormer,2210.05861,https://arxiv.org/abs/2210.05861,video prediction,object-centric slot dynamics,yes,object conditioned,prediction quality reported,object pooling is required as an alignment control,high
state_model,VideoMamba,2403.06977,https://arxiv.org/abs/2403.06977,video understanding,state-space temporal modeling,yes,current state conditioned,accuracy and efficiency reported,recurrent state alone is not novel,high
benchmark,EventHallusion,2409.16597,https://arxiv.org/abs/2409.16597,video hallucination,event-level hallucination benchmark,not applicable,event focused,benchmark only,use as rare-event failure slice,medium
benchmark,StreamingBench,2411.03628,https://arxiv.org/abs/2411.03628,online video,18-task streaming benchmark,not applicable,online query,benchmark only,primary broad online benchmark candidate,critical
benchmark,VidHalluc,2412.03735,https://arxiv.org/abs/2412.03735,video hallucination,video hallucination diagnostics,not applicable,event focused,benchmark only,use as hallucination robustness slice,medium
benchmark,OVO-Bench,2501.05510,https://arxiv.org/abs/2501.05510,online video,backward real-time and forward temporal tasks,not applicable,online query,benchmark only,primary delayed and order-aware candidate,critical
benchmark,VERHallu,2601.10010,https://arxiv.org/abs/2601.10010,video hallucination,event-relation hallucination,not applicable,event relation focused,benchmark only,use for relation-sensitive event slice,medium
benchmark,MoHallBench,2607.01117,https://arxiv.org/abs/2607.01117,motion hallucination,motion-centric hallucination benchmark,not applicable,motion focused,benchmark only,use for transport-specific failure slice,medium
