split,task,policy,samples,correct,accuracy,accuracy_ci95_low,accuracy_ci95_high,total_state_bytes,persistent_vectors,online_bounded,mean_selection_seconds
calibration,state_change,reservoir_recent_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0010213650530204177
evaluation,action_sequence,diverse_recent_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.002252003992907703
evaluation,action_sequence,diverse_recent_query_topk,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.002280455082654953
evaluation,action_sequence,exact_recent,1,0,0.0,0.0,0.7934567085261071,12336,8,1,1.8473947420716286e-05
evaluation,action_sequence,offline_full_query_mmr,1,0,0.0,0.0,0.7934567085261071,49296,32,0,0.0020865360274910927
evaluation,action_sequence,offline_uniform,1,0,0.0,0.0,0.7934567085261071,12336,8,0,2.0768027752637863e-05
evaluation,action_sequence,recent_pool_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0009356129448860884
evaluation,action_sequence,recent_pool_query_topk,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.000944174942560494
evaluation,action_sequence,reservoir_recent_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0010287939803674817
evaluation,moving_direction,diverse_recent_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.002272058976814151
evaluation,moving_direction,diverse_recent_query_topk,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0022550090216100216
evaluation,moving_direction,exact_recent,1,0,0.0,0.0,0.7934567085261071,12336,8,1,1.8990947864949703e-05
evaluation,moving_direction,offline_full_query_mmr,1,0,0.0,0.0,0.7934567085261071,49296,32,0,0.0020663070026785135
evaluation,moving_direction,offline_uniform,1,0,0.0,0.0,0.7934567085261071,12336,8,0,2.006895374506712e-05
evaluation,moving_direction,recent_pool_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0009038009447976947
evaluation,moving_direction,recent_pool_query_topk,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0009503300534561276
evaluation,moving_direction,reservoir_recent_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0010771829402074218
evaluation,object_existence,diverse_recent_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.002253035083413124
evaluation,object_existence,diverse_recent_query_topk,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.002321587991900742
evaluation,object_existence,exact_recent,1,0,0.0,0.0,0.7934567085261071,12336,8,1,1.7512007616460323e-05
evaluation,object_existence,offline_full_query_mmr,1,0,0.0,0.0,0.7934567085261071,49296,32,0,0.0020589519990608096
evaluation,object_existence,offline_uniform,1,0,0.0,0.0,0.7934567085261071,12336,8,0,1.9655097275972366e-05
evaluation,object_existence,recent_pool_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.000909052905626595
evaluation,object_existence,recent_pool_query_topk,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0009338830132037401
evaluation,object_existence,reservoir_recent_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0010454910807311535
evaluation,scene_transition,diverse_recent_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0022409149678424
evaluation,scene_transition,diverse_recent_query_topk,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0022719689877703786
evaluation,scene_transition,exact_recent,1,0,0.0,0.0,0.7934567085261071,12336,8,1,1.812400296330452e-05
evaluation,scene_transition,offline_full_query_mmr,1,0,0.0,0.0,0.7934567085261071,49296,32,0,0.0020585079910233617
evaluation,scene_transition,offline_uniform,1,0,0.0,0.0,0.7934567085261071,12336,8,0,1.9461032934486866e-05
evaluation,scene_transition,recent_pool_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0009018270066007972
evaluation,scene_transition,recent_pool_query_topk,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0009493340039625764
evaluation,scene_transition,reservoir_recent_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0010479720076546073
evaluation,state_change,diverse_recent_query_mmr,1,1,1.0,0.20654329147389294,1.0,24656,16,1,0.002272329991683364
evaluation,state_change,diverse_recent_query_topk,1,1,1.0,0.20654329147389294,1.0,24656,16,1,0.002254422986879945
evaluation,state_change,exact_recent,1,1,1.0,0.20654329147389294,1.0,12336,8,1,1.720106229186058e-05
evaluation,state_change,offline_full_query_mmr,1,1,1.0,0.20654329147389294,1.0,49296,32,0,0.0020672630053013563
evaluation,state_change,offline_uniform,1,1,1.0,0.20654329147389294,1.0,12336,8,0,1.9290950149297714e-05
evaluation,state_change,recent_pool_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0008890960598364472
evaluation,state_change,recent_pool_query_topk,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0009413670049980283
evaluation,state_change,reservoir_recent_query_mmr,1,1,1.0,0.20654329147389294,1.0,24656,16,1,0.0010721060680225492
