panel,router,density,tail_group_size,work_ratio,aggregate_error_percent,oracle_error_percent,moment_error_percent,prediction,rank,worst_error_percent,coverage,arithmetic_speedup,head_role,fraction,candidate_speedup,free_branch_speedup,attention_share,attention_speedup,denoiser_speedup_upper_bound
router_gap,,0.375,8,,,4.315218841894231,4.775244231926515,,,,,,,,,,,,
displacement_capacity,,,,,3.0117572445345147,,,oracle_nonnegative,8,22.691880034958874,,,,,,,,,
displacement_capacity,,,,,2.0093024002721758,,,oracle_nonnegative,16,17.880480142820645,,,,,,,,,
displacement_capacity,,,,,1.1652414719506694,,,oracle_nonnegative,32,12.238805263511935,,,,,,,,,
displacement_capacity,,,,,0.7678285517071294,,,oracle_nonnegative,64,9.239953154814142,,,,,,,,,
displacement_capacity,,,,,10.371856208749357,,,ridge_nonnegative,8,40.800679823812416,,,,,,,,,
displacement_capacity,,,,,10.366439960214874,,,ridge_nonnegative,16,41.1624467175489,,,,,,,,,
displacement_capacity,,,,,10.412100746341524,,,ridge_nonnegative,32,41.744631531232265,,,,,,,,,
displacement_capacity,,,,,10.423378966312512,,,ridge_nonnegative,64,41.8450649510125,,,,,,,,,
confidence_fallback,,0.125,16,,,,,,,0.5826769870965611,0.13425925925925927,1.1211143713599463,,,,,,,
confidence_fallback,,0.125,8,,,,,,,0.5713915596144148,0.13425925925925927,1.1119640445850414,,,,,,,
confidence_fallback,,0.125,4,,,,,,,0.5049482324829981,0.13425925925925927,1.0940993876212473,,,,,,,
confidence_fallback,,0.25,16,,,,,,,1.355899663239373,0.24074074074074073,1.1983190044084135,,,,,,,
confidence_fallback,,0.25,8,,,,,,,1.3190782826947047,0.24074074074074073,1.1823359395598723,,,,,,,
confidence_fallback,,0.25,4,,,,,,,1.1644278508996853,0.24074074074074073,1.1516070381193493,,,,,,,
confidence_fallback,,0.375,16,,,,,,,1.3542800080338229,0.2777777777777778,1.188209786489776,,,,,,,
confidence_fallback,,0.375,8,,,,,,,1.2444649971912711,0.2777777777777778,1.1730921685434725,,,,,,,
confidence_fallback,,0.375,4,,,,,,,1.5856514116855112,0.3148148148148148,1.166361292185688,,,,,,,
role_ceiling,,,,,,,,,,,,,localized,0.25,1.1531430054845573,1.3333333333333333,,,
role_ceiling,,,,,,,,,,,,,transitional,0.18055555555555555,1.1060902325538866,1.2203389830508475,,,
role_ceiling,,,,,,,,,,,,,diffuse,0.5694444444444444,1.4336917127006343,2.32258064516129,,,
amdahl,,,,,,,,,,,,,,,,,0.5388,1.0,1.0
amdahl,,,,,,,,,,,,,,,,,0.5388,1.05,1.0263327664066624
amdahl,,,,,,,,,,,,,,,,,0.5388,1.1,1.0515046075020076
amdahl,,,,,,,,,,,,,,,,,0.5388,1.15,1.0755906395555472
amdahl,,,,,,,,,,,,,,,,,0.5388,1.2,1.098659635245001
amdahl,,,,,,,,,,,,,,,,,0.5388,1.25,1.1207746794584417
amdahl,,,,,,,,,,,,,,,,,0.5388,1.3,1.1419937453881022
amdahl,,,,,,,,,,,,,,,,,0.5388,1.35,1.1623702019941107
amdahl,,,,,,,,,,,,,,,,,0.5388,1.4,1.1819532621910036
amdahl,,,,,,,,,,,,,,,,,0.5388,1.45,1.2007883796810044
amdahl,,,,,,,,,,,,,,,,,0.5388,1.5,1.2189176011701608
amdahl,,,,,,,,,,,,,,,,,0.5388,1.55,1.2363798797122028
amdahl,,,,,,,,,,,,,,,,,0.5388,1.6,1.2532113540948682
amdahl,,,,,,,,,,,,,,,,,0.5388,1.65,1.2694455984858977
amdahl,,,,,,,,,,,,,,,,,0.5388,1.7000000000000002,1.2851138459677662
amdahl,,,,,,,,,,,,,,,,,0.5388,1.75,1.3002451890928002
amdahl,,,,,,,,,,,,,,,,,0.5388,1.8,1.314866760168303
amdahl,,,,,,,,,,,,,,,,,0.5388,1.85,1.329003893622218
amdahl,,,,,,,,,,,,,,,,,0.5388,1.9,1.342680272493428
amdahl,,,,,,,,,,,,,,,,,0.5388,1.9500000000000002,1.3559180608285701
amdahl,,,,,,,,,,,,,,,,,0.5388,2.0,1.368738023542294
amdahl,,,,,,,,,,,,,,,,,0.5388,2.05,1.3811596351043616
amdahl,,,,,,,,,,,,,,,,,0.5388,2.1,1.3932011782501392
amdahl,,,,,,,,,,,,,,,,,0.5388,2.1500000000000004,1.404879833766777
amdahl,,,,,,,,,,,,,,,,,0.5388,2.2,1.4162117622824184
amdahl,,,,,,,,,,,,,,,,,0.5388,2.25,1.4272121788772598
amdahl,,,,,,,,,,,,,,,,,0.5388,2.3,1.437895421240841
amdahl,,,,,,,,,,,,,,,,,0.5388,2.35,1.4482750120176011
amdahl,,,,,,,,,,,,,,,,,0.5388,2.4000000000000004,1.458363715910748
amdahl,,,,,,,,,,,,,,,,,0.5388,2.45,1.468173592051488
amdahl,,,,,,,,,,,,,,,,,0.5388,2.5,1.477716042085353
amdahl,,,,,,,,,,,,,,,,,0.5388,2.55,1.4870018543787829
amdahl,,,,,,,,,,,,,,,,,0.5388,2.6,1.4960412447063156
amdahl,,,,,,,,,,,,,,,,,0.5388,2.6500000000000004,1.5048438937409852
amdahl,,,,,,,,,,,,,,,,,0.5388,2.7,1.513418981637183
amdahl,,,,,,,,,,,,,,,,,0.5388,2.75,1.5217752199656907
amdahl,,,,,,,,,,,,,,,,,0.5388,2.8,1.5299208812344276
amdahl,,,,,,,,,,,,,,,,,0.5388,2.85,1.5378638262051996
amdahl,,,,,,,,,,,,,,,,,0.5388,2.9000000000000004,1.5456115291960688
amdahl,,,,,,,,,,,,,,,,,0.5388,2.95,1.5531711015405352
amdahl,,,,,,,,,,,,,,,,,0.5388,3.0,1.560549313358302
amdahl,,,,,,,,,,,,,,,,,0.5388,3.0500000000000003,1.5677526137777182
amdahl,,,,,,,,,,,,,,,,,0.5388,3.1,1.5747871497368582
amdahl,,,,,,,,,,,,,,,,,0.5388,3.15,1.5816587834784441
amdahl,,,,,,,,,,,,,,,,,0.5388,3.2,1.5883731088432673
amdahl,,,,,,,,,,,,,,,,,0.5388,3.25,1.5949354664572801
amdahl,,,,,,,,,,,,,,,,,0.5388,3.3000000000000003,1.6013509578990275
amdahl,,,,,,,,,,,,,,,,,0.5388,3.35,1.6076244589263946
amdahl,,,,,,,,,,,,,,,,,0.5388,3.4000000000000004,1.6137606318347506
amdahl,,,,,,,,,,,,,,,,,0.5388,3.45,1.61976393701231
amdahl,,,,,,,,,,,,,,,,,0.5388,3.5,1.6256386437529027
amdahl,,,,,,,,,,,,,,,,,0.5388,3.5500000000000003,1.6313888403812395
amdahl,,,,,,,,,,,,,,,,,0.5388,3.6,1.6370184437411328
amdahl,,,,,,,,,,,,,,,,,0.5388,3.6500000000000004,1.6425312080929537
amdahl,,,,,,,,,,,,,,,,,0.5388,3.7,1.6479307334627922
amdahl,,,,,,,,,,,,,,,,,0.5388,3.75,1.6532204734823435
amdahl,,,,,,,,,,,,,,,,,0.5388,3.8000000000000003,1.6584037427553942
amdahl,,,,,,,,,,,,,,,,,0.5388,3.85,1.6634837237839284
amdahl,,,,,,,,,,,,,,,,,0.5388,3.9000000000000004,1.6684634734842652
amdahl,,,,,,,,,,,,,,,,,0.5388,3.95,1.673345929321257
amdahl,,,,,,,,,,,,,,,,,0.5388,4.0,1.6781339150864236
