sample_id,task,memory_variant,transition,prediction_changed,reference_correct,candidate_correct,reference_prediction,candidate_prediction,answer,question,reference_frames,candidate_frames
action_sequence_0048,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Tidied up the closet/cabinet.,Tidied up the closet/cabinet.,Tidied up the blanket.,What happened after the person put down the clothes?,"[239, 253, 280, 362, 376, 403, 417, 431]","[239, 253, 280, 362, 376, 403, 417, 431]"
action_sequence_0051,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Put down the phone/camera.,Put down the phone/camera.,Took the book.,What happened after the person closed the door?,"[253, 278, 327, 340, 352, 365, 377, 389]","[253, 278, 327, 340, 352, 365, 377, 389]"
action_sequence_0056,action_sequence,pca_r256_s4,stable_correct,0,1,1,Took the paper/notebook.,Took the paper/notebook.,Took the paper/notebook.,What happened after the person opened the book?,"[34, 35, 37, 41, 44, 51, 53, 55]","[34, 35, 37, 41, 44, 51, 53, 55]"
action_sequence_0062,action_sequence,pca_r256_s4,stable_correct,0,1,1,Put down the box.,Put down the box.,Put down the box.,What happened after the person sat at the table?,"[182, 191, 201, 221, 231, 290, 300, 310]","[182, 191, 201, 221, 231, 290, 300, 310]"
action_sequence_0063,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Took the towel.,Took the towel.,Took the paper/notebook.,What happened after the person held the dish?,"[94, 134, 140, 157, 162, 168, 174, 180]","[94, 134, 140, 157, 162, 168, 174, 180]"
action_sequence_0067,action_sequence,pca_r256_s4,stable_correct,0,1,1,Sat at the table.,Sat at the table.,Sat at the table.,What happened before the person held the sandwich?,"[303, 318, 392, 407, 422, 436, 451, 466]","[303, 318, 392, 407, 422, 436, 451, 466]"
action_sequence_0068,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Put down the broom.,Put down the broom.,Threw the pillow.,What happened before the person held the phone/camera?,"[295, 313, 331, 349, 403, 529, 547, 565]","[295, 313, 331, 349, 403, 529, 547, 565]"
action_sequence_0079,action_sequence,pca_r256_s4,stable_correct,0,1,1,Lied on the floor.,Lied on the floor.,Lied on the floor.,What happened before the person watched at the picture?,"[131, 168, 176, 183, 198, 221, 228, 236]","[131, 168, 176, 183, 198, 221, 228, 236]"
action_sequence_0090,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Opened the closet/cabinet.,Opened the closet/cabinet.,Opened the box.,What happened after the person threw the clothes?,"[128, 143, 198, 213, 221, 229, 237, 245]","[128, 143, 198, 213, 221, 229, 237, 245]"
action_sequence_0098,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Sat on the sofa/couch.,Sat on the sofa/couch.,Put down the shoe.,What happened after the person opened the box?,"[43, 57, 59, 61, 64, 66, 68, 70]","[43, 57, 59, 61, 64, 66, 68, 70]"
action_sequence_0103,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Put down the towel.,Put down the towel.,Sat on the floor.,What happened after the person washed the clothes?,"[261, 286, 337, 350, 363, 376, 388, 401]","[261, 286, 337, 350, 363, 376, 388, 401]"
action_sequence_0106,action_sequence,pca_r256_s4,stable_correct,0,1,1,Put down the book.,Put down the book.,Put down the book.,What happened after the person sat at the table?,"[262, 288, 301, 313, 365, 377, 390, 403]","[262, 288, 301, 313, 365, 377, 390, 403]"
action_sequence_0113,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Opened the bag.,Opened the bag.,Took the clothes.,What happened before the person opened the refrigerator?,"[239, 251, 276, 288, 300, 362, 374, 386]","[239, 251, 276, 288, 300, 362, 374, 386]"
action_sequence_0125,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Took the picture.,Took the picture.,Opened the book.,What happened after the person sat at the table?,"[297, 310, 322, 335, 348, 373, 386, 398]","[297, 310, 322, 335, 348, 373, 386, 398]"
action_sequence_0126,action_sequence,pca_r256_s4,stable_correct,0,1,1,Took the broom.,Took the broom.,Took the broom.,What happened after the person sat on the floor?,"[188, 196, 203, 211, 219, 226, 234, 242]","[188, 196, 203, 211, 219, 226, 234, 242]"
action_sequence_0137,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Put down the cup/glass/bottle.,Put down the cup/glass/bottle.,Closed the laptop.,What happened before the person opened the closet/cabinet?,"[290, 303, 317, 330, 344, 398, 411, 425]","[290, 303, 317, 330, 344, 398, 411, 425]"
action_sequence_0147,action_sequence,pca_r256_s4,stable_correct,0,1,1,Took the paper/notebook.,Took the paper/notebook.,Took the paper/notebook.,What happened before the person held the book?,"[201, 213, 249, 274, 286, 359, 371, 383]","[201, 213, 249, 274, 286, 359, 371, 383]"
action_sequence_0151,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Sat on the sofa/couch.,Sat on the sofa/couch.,Closed the laptop.,What happened before the person took the food?,"[170, 180, 190, 242, 293, 304, 314, 324]","[170, 180, 190, 242, 293, 304, 314, 324]"
action_sequence_0154,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Closed the refrigerator.,Closed the refrigerator.,Took the towel.,What happened after the person closed the door?,"[169, 179, 243, 252, 261, 271, 280, 289]","[169, 179, 243, 252, 261, 271, 280, 289]"
action_sequence_0155,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Opened the bag.,Opened the bag.,Took the towel.,What happened before the person held the clothes?,"[154, 179, 187, 221, 229, 246, 254, 262]","[154, 179, 187, 221, 229, 246, 254, 262]"
action_sequence_0156,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Took the picture.,Took the picture.,Put down the dish.,What happened before the person took the phone/camera?,"[228, 239, 250, 305, 317, 328, 339, 350]","[228, 239, 250, 305, 317, 328, 339, 350]"
action_sequence_0158,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Opened the bag.,Opened the bag.,Closed the box.,What happened after the person put down the towel?,"[190, 212, 222, 288, 299, 320, 331, 342]","[190, 212, 222, 288, 299, 320, 331, 342]"
action_sequence_0161,action_sequence,pca_r256_s4,stable_correct,0,1,1,Took the book.,Took the book.,Took the book.,What happened after the person put down the laptop?,"[86, 113, 117, 122, 126, 130, 135, 139]","[86, 113, 117, 122, 126, 130, 135, 139]"
action_sequence_0163,action_sequence,pca_r256_s4,stable_correct,0,1,1,Closed the refrigerator.,Closed the refrigerator.,Closed the refrigerator.,What happened after the person put down the food?,"[130, 138, 145, 153, 197, 220, 227, 235]","[130, 138, 145, 153, 197, 220, 227, 235]"
action_sequence_0168,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Opened the door.,Opened the door.,Put down the sandwich.,What happened after the person took the cup/glass/bottle?,"[85, 90, 100, 110, 130, 144, 149, 154]","[85, 90, 100, 110, 130, 144, 149, 154]"
action_sequence_0173,action_sequence,pca_r256_s4,stable_correct,0,1,1,Closed the refrigerator.,Closed the refrigerator.,Closed the refrigerator.,What happened before the person held the sandwich?,"[259, 270, 280, 291, 301, 312, 323, 333]","[259, 270, 280, 291, 301, 312, 323, 333]"
action_sequence_0177,action_sequence,pca_r256_s4,stable_correct,0,1,1,Opened the closet/cabinet.,Opened the closet/cabinet.,Opened the closet/cabinet.,What happened after the person put down the clothes?,"[95, 114, 123, 128, 132, 137, 142, 146]","[95, 114, 123, 128, 132, 137, 142, 146]"
action_sequence_0183,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Opened the bag.,Opened the bag.,Put down the paper/notebook.,What happened after the person held the laptop?,"[339, 376, 413, 450, 523, 542, 560, 578]","[339, 376, 413, 450, 523, 542, 560, 578]"
action_sequence_0187,action_sequence,pca_r256_s4,stable_correct,0,1,1,Took the dish.,Took the dish.,Took the dish.,What happened after the person opened the bag?,"[106, 112, 118, 130, 136, 178, 184, 190]","[106, 112, 118, 130, 136, 178, 184, 190]"
action_sequence_0190,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Put down the phone/camera.,Put down the phone/camera.,Took the sandwich.,What happened before the person closed the closet/cabinet?,"[163, 169, 176, 183, 189, 196, 203, 209]","[163, 169, 176, 183, 189, 196, 203, 209]"
moving_direction_0003,moving_direction,pca_r256_s4,stable_wrong,0,0,0,Up and to the right.,Up and to the right.,Down and to the left.,In which direction does the blue cube move in the video?,"[66, 70, 74, 78, 90, 118, 122, 126]","[66, 70, 74, 78, 90, 118, 122, 126]"
moving_direction_0005,moving_direction,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,Can you identify the direction of the gray sphere's movement in the video?,"[86, 94, 106, 110, 114, 118, 122, 126]","[86, 94, 106, 110, 114, 118, 122, 126]"
moving_direction_0007,moving_direction,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the left.,Can you identify the direction of the brown sphere's movement in the video?,"[66, 82, 86, 110, 114, 118, 122, 126]","[66, 82, 86, 110, 114, 118, 122, 126]"
moving_direction_0020,moving_direction,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the right.,Can you identify the direction of the purple sphere's movement in the video?,"[66, 70, 106, 110, 114, 118, 122, 126]","[66, 70, 106, 110, 114, 118, 122, 126]"
moving_direction_0026,moving_direction,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the right.,What direction is the green sphere moving in within the video?,"[94, 98, 102, 106, 110, 118, 122, 126]","[94, 98, 102, 106, 110, 118, 122, 126]"
moving_direction_0044,moving_direction,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the red sphere moving in within the video?,"[90, 102, 106, 110, 114, 118, 122, 126]","[90, 102, 106, 110, 114, 118, 122, 126]"
moving_direction_0046,moving_direction,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,In which direction does the gray sphere move in the video?,"[70, 74, 78, 82, 86, 118, 122, 126]","[70, 74, 78, 82, 86, 118, 122, 126]"
moving_direction_0047,moving_direction,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the left.,What direction is the gray sphere moving in within the video?,"[82, 98, 106, 110, 114, 118, 122, 126]","[82, 98, 106, 110, 114, 118, 122, 126]"
moving_direction_0066,moving_direction,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,What direction is the red sphere moving in within the video?,"[66, 70, 74, 90, 114, 118, 122, 126]","[66, 70, 74, 90, 114, 118, 122, 126]"
moving_direction_0067,moving_direction,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the right.,Can you identify the direction of the blue sphere's movement in the video?,"[86, 90, 98, 106, 114, 118, 122, 126]","[86, 90, 98, 106, 114, 118, 122, 126]"
moving_direction_0071,moving_direction,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,Can you identify the direction of the gray cube's movement in the video?,"[94, 98, 102, 106, 110, 118, 122, 126]","[94, 98, 102, 106, 110, 118, 122, 126]"
moving_direction_0075,moving_direction,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the left.,What direction is the red sphere moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
moving_direction_0081,moving_direction,pca_r256_s4,stable_wrong,0,0,0,Up and to the right.,Up and to the right.,Up and to the left.,Can you identify the direction of the red sphere's movement in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
moving_direction_0083,moving_direction,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,In which direction does the green sphere move in the video?,"[90, 102, 106, 110, 114, 118, 122, 126]","[90, 102, 106, 110, 114, 118, 122, 126]"
moving_direction_0085,moving_direction,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the yellow sphere moving in within the video?,"[94, 98, 106, 110, 114, 118, 122, 126]","[94, 98, 106, 110, 114, 118, 122, 126]"
moving_direction_0088,moving_direction,pca_r256_s4,stable_wrong,0,0,0,Down and to the right.,Down and to the right.,Down and to the left.,What direction is the cyan cylinder moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
moving_direction_0090,moving_direction,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the right.,In which direction does the red sphere move in the video?,"[70, 98, 102, 110, 114, 118, 122, 126]","[70, 98, 102, 110, 114, 118, 122, 126]"
moving_direction_0092,moving_direction,pca_r256_s4,stable_wrong,0,0,0,Down and to the right.,Down and to the right.,Up and to the right.,Can you identify the direction of the red sphere's movement in the video?,"[90, 102, 106, 110, 114, 118, 122, 126]","[90, 102, 106, 110, 114, 118, 122, 126]"
moving_direction_0097,moving_direction,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,In which direction does the blue sphere move in the video?,"[82, 98, 102, 106, 110, 118, 122, 126]","[82, 98, 102, 106, 110, 118, 122, 126]"
moving_direction_0099,moving_direction,pca_r256_s4,stable_wrong,0,0,0,Up and to the right.,Up and to the right.,Down and to the right.,Can you identify the direction of the purple sphere's movement in the video?,"[94, 102, 106, 110, 114, 118, 122, 126]","[94, 102, 106, 110, 114, 118, 122, 126]"
moving_direction_0101,moving_direction,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the yellow sphere moving in within the video?,"[70, 74, 78, 82, 86, 118, 122, 126]","[70, 74, 78, 82, 86, 118, 122, 126]"
moving_direction_0104,moving_direction,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,Can you identify the direction of the yellow sphere's movement in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
moving_direction_0110,moving_direction,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the right.,What direction is the cyan cylinder moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
moving_direction_0114,moving_direction,pca_r256_s4,stable_wrong,0,0,0,Up and to the left.,Up and to the left.,Down and to the left.,What direction is the blue cube moving in within the video?,"[94, 98, 106, 110, 114, 118, 122, 126]","[94, 98, 106, 110, 114, 118, 122, 126]"
moving_direction_0118,moving_direction,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the right.,Can you identify the direction of the purple sphere's movement in the video?,"[90, 94, 98, 102, 106, 118, 122, 126]","[90, 94, 98, 102, 106, 118, 122, 126]"
moving_direction_0119,moving_direction,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,Can you identify the direction of the gray sphere's movement in the video?,"[70, 78, 98, 110, 114, 118, 122, 126]","[70, 78, 98, 110, 114, 118, 122, 126]"
moving_direction_0122,moving_direction,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,What direction is the cyan cube moving in within the video?,"[86, 90, 94, 98, 102, 118, 122, 126]","[86, 90, 94, 98, 102, 118, 122, 126]"
moving_direction_0123,moving_direction,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the cyan sphere moving in within the video?,"[78, 90, 94, 98, 114, 118, 122, 126]","[78, 90, 94, 98, 114, 118, 122, 126]"
moving_direction_0124,moving_direction,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the blue sphere moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
moving_direction_0125,moving_direction,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the brown sphere moving in within the video?,"[90, 102, 106, 110, 114, 118, 122, 126]","[90, 102, 106, 110, 114, 118, 122, 126]"
moving_direction_0129,moving_direction,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,Can you identify the direction of the cyan cylinder's movement in the video?,"[86, 94, 98, 102, 106, 118, 122, 126]","[86, 94, 98, 102, 106, 118, 122, 126]"
moving_direction_0133,moving_direction,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,What direction is the cyan sphere moving in within the video?,"[90, 94, 98, 106, 110, 118, 122, 126]","[90, 94, 98, 106, 110, 118, 122, 126]"
moving_direction_0144,moving_direction,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the left.,In which direction does the red sphere move in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
moving_direction_0154,moving_direction,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the green sphere moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
moving_direction_0166,moving_direction,pca_r256_s4,stable_correct,0,1,1,Up and to the right.,Up and to the right.,Up and to the right.,In which direction does the brown sphere move in the video?,"[70, 74, 94, 110, 114, 118, 122, 126]","[70, 74, 94, 110, 114, 118, 122, 126]"
moving_direction_0168,moving_direction,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the left.,In which direction does the gray sphere move in the video?,"[74, 82, 86, 102, 106, 118, 122, 126]","[74, 82, 86, 102, 106, 118, 122, 126]"
moving_direction_0169,moving_direction,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,Can you identify the direction of the purple sphere's movement in the video?,"[78, 86, 90, 110, 114, 118, 122, 126]","[78, 86, 90, 110, 114, 118, 122, 126]"
moving_direction_0181,moving_direction,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the brown sphere moving in within the video?,"[82, 86, 106, 110, 114, 118, 122, 126]","[82, 86, 106, 110, 114, 118, 122, 126]"
moving_direction_0182,moving_direction,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,Can you identify the direction of the yellow sphere's movement in the video?,"[90, 98, 106, 110, 114, 118, 122, 126]","[90, 98, 106, 110, 114, 118, 122, 126]"
moving_direction_0183,moving_direction,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,In which direction does the red sphere move in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0003,object_existence,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,Are there any stationary objects when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0010,object_existence,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any moving yellow objects when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0013,object_existence,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,Are there any purple spheres that enter the scene?,"[78, 102, 106, 110, 114, 118, 122, 126]","[78, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0018,object_existence,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,Are there any rubber spheres that exit the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0019,object_existence,pca_r256_s4,stable_wrong,0,0,0,yes,yes,no,Are there any stationary green objects?,"[86, 98, 102, 110, 114, 118, 122, 126]","[86, 98, 102, 110, 114, 118, 122, 126]"
object_existence_0020,object_existence,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any stationary cyan objects when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0025,object_existence,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,Are there any moving spheres?,"[94, 98, 102, 106, 114, 118, 122, 126]","[94, 98, 102, 106, 114, 118, 122, 126]"
object_existence_0026,object_existence,pca_r256_s4,stable_wrong,0,0,0,yes,yes,no,Are there any stationary spheres?,"[94, 98, 102, 110, 114, 118, 122, 126]","[94, 98, 102, 110, 114, 118, 122, 126]"
object_existence_0031,object_existence,pca_r256_s4,stable_wrong,0,0,0,yes,yes,no,Are there any objects that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0032,object_existence,pca_r256_s4,stable_correct,0,1,1,no,no,no,Are there any moving spheres?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0036,object_existence,pca_r256_s4,stable_correct,0,1,1,no,no,no,Are there any moving spheres when the video ends?,"[94, 102, 106, 110, 114, 118, 122, 126]","[94, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0038,object_existence,pca_r256_s4,stable_wrong,0,0,0,yes,yes,no,Are there any objects that exit the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0040,object_existence,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,Are there any moving cylinders when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0046,object_existence,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any blue objects that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0061,object_existence,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any gray cubes that exit the scene?,"[90, 98, 102, 110, 114, 118, 122, 126]","[90, 98, 102, 110, 114, 118, 122, 126]"
object_existence_0064,object_existence,pca_r256_s4,stable_correct,0,1,1,no,no,no,Are there any stationary cylinders when the video begins?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0066,object_existence,pca_r256_s4,stable_correct,0,1,1,no,no,no,Are there any stationary purple objects when the video begins?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0068,object_existence,pca_r256_s4,stable_correct,0,1,1,no,no,no,Are there any stationary red objects when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0077,object_existence,pca_r256_s4,stable_wrong,0,0,0,yes,yes,no,Are there any stationary gray objects when the video ends?,"[90, 94, 98, 102, 110, 118, 122, 126]","[90, 94, 98, 102, 110, 118, 122, 126]"
object_existence_0082,object_existence,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any metal objects that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0083,object_existence,pca_r256_s4,stable_correct,0,1,1,no,no,no,Are there any moving cubes?,"[94, 98, 106, 110, 114, 118, 122, 126]","[94, 98, 106, 110, 114, 118, 122, 126]"
object_existence_0085,object_existence,pca_r256_s4,stable_correct,0,1,1,no,no,no,Are there any stationary cylinders?,"[94, 102, 106, 110, 114, 118, 122, 126]","[94, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0089,object_existence,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any gray objects that enter the scene?,"[94, 98, 102, 110, 114, 118, 122, 126]","[94, 98, 102, 110, 114, 118, 122, 126]"
object_existence_0093,object_existence,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any gray objects that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0097,object_existence,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,Are there any stationary cylinders?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0102,object_existence,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,Are there any moving yellow objects?,"[90, 98, 102, 110, 114, 118, 122, 126]","[90, 98, 102, 110, 114, 118, 122, 126]"
object_existence_0104,object_existence,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any rubber cylinders that enter the scene?,"[82, 86, 90, 94, 98, 118, 122, 126]","[82, 86, 90, 94, 98, 118, 122, 126]"
object_existence_0130,object_existence,pca_r256_s4,stable_wrong,0,0,0,yes,yes,no,Are there any brown cylinders that enter the scene?,"[86, 102, 106, 110, 114, 118, 122, 126]","[86, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0135,object_existence,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,Are there any moving rubber objects?,"[98, 102, 106, 110, 114, 118, 122, 126]","[98, 102, 106, 110, 114, 118, 122, 126]"
object_existence_0137,object_existence,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any cylinders that enter the scene?,"[94, 102, 106, 110, 114, 118, 122, 126]","[94, 102, 106, 110, 114, 118, 122, 126]"
