name,paper_title,arxiv_id,code_url,category,datasets_tested,metrics_reported,strengths,weaknesses,selected,selection_reason
OLSTEC,Online Low-Rank Subspace Tracking from Incomplete Tensor Data,1709.10276,N/A,theoretical_antecedent,Online tensor sequences,Subspace tracking error,Tensorized online low-rank state,Not task conditioned,yes,Probe 1 tensor-state control
SlotFormer,SlotFormer: Unsupervised Visual Dynamics Simulation with Object-Centric Models,2210.05861,N/A,state_model,Video prediction,Paper-reported prediction quality,Object-centric slot dynamics,Not an online VLM memory system,yes,Object and region pooling control
V-Rex,V-Rex,2512.12284,N/A,hardware_competitor,Online video retrieval hardware,Paper-reported latency; energy; quality,Algorithm-hardware co-design for dynamic KV retrieval,Hardware reproduction may be unavailable,yes,Novelty boundary and systems comparison
VMonarch,VMonarch: Efficient Video Diffusion Transformers with Structured Attention,2601.22275,N/A,generation_transfer,Video DiT generation,Paper-reported quality; FLOPs; speed,Structured dynamic sparse video attention,Generation setting and different primary bottlenecks,no,Deferred generation-side comparison
MonarchRT,MonarchRT: Efficient Attention for Real-Time Video Generation,2602.12271,N/A,generation_transfer,Real-time video generation,Paper-reported FPS; kernel speed; quality,Periodic plus sparse plus dense structured attention,Highly overlapping generation framing,no,Deferred generation-side comparison
RoPeSLR,RoPeSLR: 3D RoPE-driven Sparse-LowRank Attention for Efficient Diffusion Transformers,2605.20659,N/A,generation_transfer,Video DiT generation,Paper-reported FLOPs; speed; quality,3D geometry-aware sparse-low-rank attention,Not online understanding and no persistent memory,no,Deferred generation-side comparison
Causal-Forcing-PlusPlus,Causal Forcing++: Scalable Few-Step Autoregressive Diffusion Distillation for Real-Time Interactive Video Generation,2605.15141,https://github.com/thu-ml/Causal-Forcing,generation_transfer,Frame-wise autoregressive video generation,Paper-reported NFE; first-frame latency; quality,One- or two-step causal generation,Requires distillation training and different base models,no,Primary NFE comparator if generation is resumed
Forcing-KV,Forcing-KV: Hybrid KV Cache Compression for Efficient Autoregressive Video Diffusion Models,2605.09681,N/A,generation_transfer,Autoregressive video diffusion,Paper-reported FPS; cache memory; quality,Head-specialized static and dynamic KV compression,Recent implementation and hardware dependence,no,Primary cache comparator if generation is resumed
TurboDiffusion,TurboDiffusion: Accelerating Video Diffusion Models by 100-200 Times,2512.16093,https://github.com/thu-ml/TurboDiffusion,generation_transfer,Video diffusion inference,Paper-reported end-to-end speed; quality; precision,Combines step distillation sparse-linear attention W8A8 and systems optimization,Full-stack reproduction is costly,no,End-to-end acceleration boundary
LongLive-2.0,LongLive-2.0: An NVFP4 Parallel Infrastructure for Long Video Generation,2605.18739,N/A,generation_transfer,Long autoregressive video generation,Paper-reported FPS; memory; training and inference speed,NVFP4 training inference cache and streaming VAE,Blackwell-specific paths and substantial training cost,no,Low-precision infrastructure boundary
GENSERVE,GENSERVE: Efficient Co-Serving of Heterogeneous Diffusion Model Workloads,2604.04335,N/A,generation_systems,T2I and T2V serving,Paper-reported SLO attainment; throughput; latency,Step-level preemption elastic sequence parallelism and SLO scheduling,System-level reproduction requires workload traces and multiple GPUs,no,Serving baseline if an SLO claim is made
Ours-Transport-Only,N/A,N/A,N/A,ablation_anchor,All selected tasks,All primary metrics,Isolates structured path,No persistent or event path,yes,Required component attribution
Ours-Memory-Only,N/A,N/A,N/A,ablation_anchor,All selected tasks,All primary metrics,Isolates fixed-capacity state,No local transport or event protection,yes,Required component attribution
Ours-Event-Only,N/A,N/A,N/A,ablation_anchor,All selected tasks,All primary metrics,Isolates event path,No persistent compressed state,yes,Required component attribution
